X,Y,code_loc,name,region,departemen,commune,nbre_hbts,couverture,exist_ZB,icon_url
-15.1527794795702,14.3570563740821,"78",AINOUMANE,,,,,,,./0.png
-16.7237300113463,15.0893485271908,"79",AINOUMANE,,,,,,,./0.png
-16.2955729495873,15.024870033297,"80",AINOUMANE,,,,,,,./0.png
-15.6925323313459,13.6136124531959,"81",AINOUMANE,,,,,,,./0.png
-16.5710909341531,13.0695026385997,"82",AINOUMANE,,,,,,,./0.png
-16.1986314947573,13.850157934606,"83",AINOUMANE,,,,,,,./0.png
-16.2236272321262,13.944586170144,"84",AINOUMANE,,,,,,,./0.png
-15.9926796469255,15.8419474577208,"85",AINOUMANE,,,,,,,./0.png
-15.1080170093349,14.0957726046602,"86",AINOUMANE DRAME,,,,,,,./0.png
-15.3729585857353,14.1049207283483,"87",AINOUMANE I,,,,,,,./0.png
-15.1634806023275,14.2005635779774,"88",AINOUMANE II,,,,,,,./0.png
-15.7397422693854,14.4202239747369,"89",AINOUMANE MADINA,,,,,,,./0.png
-15.5624720455949,12.8398407420023,"90",AIYNOUSSALAM,,,,,,,./0.png
-13.6629570767322,12.7963943707206,"91",AKANE,,,,,,,./0.png
-15.8830028471304,12.5366955707227,"92",AKINTOU I,,,,,,,./0.png
-15.8855917206715,12.5293720301604,"93",AKINTOU II,,,,,,,./0.png
-14.3475884594505,13.1047050606475,"94",AKOUNDE MOUNDIOUROU,,,,,,,./0.png
-16.6153263057959,15.6210752430959,"95",AL NDIAYE,,,,,,,./0.png
-15.7158375996082,15.9902617761797,"96",AL SEGOU,,,,,,,./0.png
-15.5654100720417,12.8967021440241,"97",ALABATOU,,,,,,,./0.png
-15.9635601450862,13.1644252639703,"98",ALACOUNDA,,,,,,,./0.png
-12.4778877185827,14.8265021302074,"99",ALAHINA BAMBARA,,,,,,,./0.png
-12.197744689165,14.4313332058099,"100",ALAHINA BOCAR,,,,,,,./0.png
-12.471094091157,14.8221636491199,"101",ALAHINA MAURE,,,,,,,./0.png
-15.9236247516251,15.1708752564211,"102",ALAKHOURY,,,,,,,./0.png
-12.5418736322641,14.8469071986374,"103",ALALEVI,,,,,,,./0.png
-14.5538926829348,12.9530777461992,"104",ALALONG SAMBA,,,,,,,./0.png
-14.8305528016724,16.5179941918834,"105",ALANA,,,,,,,./0.png
-12.6125368721099,14.9193318394521,"106",ALANA,,,,,,,./0.png
-13.0277636231755,14.1389782355982,"107",ALANGUE,,,,,,,./0.png
-16.6971403340453,13.0021234352183,"108",ALBADAR,,,,,,,./0.png
-14.6989140095145,12.7864660299316,"109",ALEXANDRIE KANANKO,,,,,,,./0.png
-15.1695842299352,16.07855357472,"110",ALINGO GANINA,,,,,,,./0.png
-12.1749206274318,13.8007331615731,"111",ALINGUEL,,,,,,,./0.png
-13.5258078874407,13.5557280167983,"112",ALLABOUGOU,,,,,,,./0.png
-14.8254546860304,12.9862441996028,"113",ALLABOURY,,,,,,,./0.png
-15.8865499765878,14.8936779935883,"114",ALLIA,,,,,,,./0.png
-15.3805653257235,14.1834632292041,"115",ALLOUKY,,,,,,,./0.png
-16.1333444781924,15.7680504104584,"116",ALLOULAYE,,,,,,,./0.png
-15.9792215905066,12.9098659508264,"117",ALLOUTE DIOLA,,,,,,,./0.png
